"Plant_gen_sp","Site_ID","cv_1_fruit","cv_1_seed","cv_1_visitation","syncLM","S_total"
"Cistus crispus","Aznalcazar",4.8189675367095,20.0118912861205,2.2758460253777,0.0557480164081226,9
"Cistus crispus","Bonares",NA,NA,NA,NA,6
"Cistus crispus","Convento_de_la_luz",NA,NA,NA,NA,3
"Cistus crispus","El_pozo",16.3279828218476,8.74397897711174,9.23972778559936,0.00241870464928784,11
"Cistus crispus","Esparragal",2.88560799098677,5.07892422287722,1.33698542248024,0.117846943885976,16
"Cistus crispus","Niebla",4.93243827821708,4.83138130088211,2.09619687656174,0.153706492389747,10
"Cistus crispus","Pino_del_cuervo",11.1785473365169,6.08257149896096,2.68673882499188,0.397644364101204,10
"Cistus crispus","Urbanizaciones",4.1970979244755,7.53086317329911,1.45933409833806,0.136096441072881,12
"Cistus crispus","Villamanrique_este",9.16146825952593,6.78435861261514,1.67000346283617,0.0526629412164419,13
"Cistus crispus","Villamanrique_sur",6.57949299602091,3.48299361736337,1.5188706368428,0.0715039762678841,16
"Cistus ladanifer","Aznalcazar",17.0519114937159,2.3651687630389,1.31786305131543,0.140170695759455,16
"Cistus ladanifer","Bonares",56.5803263805832,2.94336408976794,0.913623933860214,0.399269612470593,5
"Cistus ladanifer","Convento_de_la_luz",8.94892917243919,1.5985313940677,0.873829624887449,0.277840015777443,9
"Cistus ladanifer","El_pozo",NA,NA,NA,NA,3
"Cistus ladanifer","Niebla",61.5000000000001,3.0436516649631,1.07713382110355,0.131929577854259,15
"Cistus ladanifer","Pino_del_cuervo",35.5000000000001,2.4934729305542,0.643644430572811,0.3148433671579,10
"Cistus ladanifer","Villamanrique_este",NA,1.59715781794968,2.36727052832018,0.326530612244898,3
"Cistus ladanifer","Villamanrique_sur",3.15322070095872,1.66548951763491,1.98844768059703,0.395522728658024,6
"Cistus salviifolius","Aznalcazar",17.995280599589,2.30278602552259,1.95163124247004,0.133742101337065,12
"Cistus salviifolius","Bonares",12.6806693691762,2.08276239062172,0.875802237777652,0.132905511636815,20
"Cistus salviifolius","Convento_de_la_luz",NA,1.97397572898307,1.00635971294636,0.431265086978239,6
"Cistus salviifolius","El_pozo",NA,NA,NA,NA,3
"Cistus salviifolius","Esparragal",10.8333333333333,1.76467160280848,3.67191882444218,0.0385487528344671,13
"Cistus salviifolius","La_cunya",120.66620626063,1.47356591341276,1.12480971918909,0.00162924655762025,10
"Cistus salviifolius","Pinares_de_hinojos",25.9807621135331,5.10846016153302,0.96012153737849,0.390059648873701,6
"Cistus salviifolius","Pino_del_cuervo",7.77817459305201,1.28043660377023,4.00693842672377,0.444444444444444,3
"Cistus salviifolius","Urbanizaciones",15.5,11.2971892027039,1.43342096515456,0.238551543402499,7
"Cistus salviifolius","Villamanrique_este",4.61880215351701,5.97481091981067,4.69461999815693,0.162623263208336,8
"Cistus salviifolius","Villamanrique_sur",NA,NA,NA,NA,2
"Halimium halimifolium","Bonares",8.43088854491653,2.78770369755744,2.16539550345219,0.0937109537692628,10
"Halimium halimifolium","Convento_de_la_luz",7.13843361040792,2.48919327320875,0.880327722686341,0.444009761642886,14
"Halimium halimifolium","El_pozo",4.3840620433566,55.8614357137427,0.707106781186548,1,4
"Halimium halimifolium","Esparragal",3.95093222807631,17.7275019095154,2.178900642266,0.337496890172136,10
"Halimium halimifolium","La_rocina",NA,NA,NA,NA,2
"Halimium halimifolium","Pinares_de_hinojos",2.62590063258965,9.76071697021053,1.21636743304098,0.0743801652892562,9
"Halimium halimifolium","Pino_del_cuervo",NA,NA,NA,NA,4
"Halimium halimifolium","Urbanizaciones",18.3847763108502,1.51203465858467,1.66855939145585,0.14792899408284,8
"Lavandula pedunculata","Aznalcazar",6.16687486954013,6.73418418527605,0.786041547654504,0.120004802782177,9
"Lavandula pedunculata","Bonares",NA,NA,NA,NA,2
"Lavandula pedunculata","Convento_de_la_luz",NA,NA,NA,NA,4
"Lavandula pedunculata","El_pozo",NA,NA,NA,NA,5
"Lavandula pedunculata","Esparragal",31.9771839764287,3.76800736824064,0.812470374409708,0.740400216333153,2
"Lavandula pedunculata","La_cunya",25.164366709249,6.17822161222196,1.35031808253397,0.568518012501095,3
"Lavandula pedunculata","La_rocina",NA,NA,NA,NA,7
"Lavandula pedunculata","Niebla",68.6602508383812,20.7306995724188,2.98078478683983,0.128111357229409,16
"Lavandula pedunculata","Urbanizaciones",17.8374115597551,6.58929134801396,1.55969898692643,0.00114463338871999,8
"Lavandula pedunculata","Villamanrique_sur",NA,NA,NA,NA,2
