"Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","Flower_abundance","freq_total","n_round","time_obs","freq_min","visitatio_rate","S_total"
"2015","Aznalcazar","Asphodelus fistulosus","B",23,16,7,0,30,46,0.652173913043478,2.66666666666667,0.00911833333333333,27,4,4,5,0.2,0.00740740740740741,3
"2015","Aznalcazar","Asphodelus fistulosus","C",40,6,21,0,61,67,0.91044776119403,4.14285714285714,0.0130114285714286,13,1,3,5,0.0666666666666667,0.00512820512820513,1
"2017","Aznalcazar","Cistus crispus","A",5,0,0,0,5,5,1,47.6666666666667,0.0207533333333333,11,1,1,3,0.333333333333333,0.0303030303030303,1
"2017","Aznalcazar","Cistus crispus","B",6,0,0,0,6,6,1,36,0.0186333333333333,10,1,1,3,0.333333333333333,0.0333333333333333,1
"2018","Aznalcazar","Cistus crispus","A",7,0,0,0,7,7,1,42.3333333333333,0.0229266666666667,30.8,35,3,3,3.88888888888889,0.126262626262626,3
"2018","Aznalcazar","Cistus crispus","B",8,0,1,1,10,10,1,42.3333333333333,0.0211366666666667,61.8,19,2,3,3.16666666666667,0.0512405609492988,2
"2018","Aznalcazar","Cistus crispus","C",8,1,4,0,12,13,0.923076923076923,41,0.02321,26.3333333333333,8,3,3,0.888888888888889,0.0337552742616034,2
"2018","Aznalcazar","Cistus crispus","D",6,1,4,0,10,11,0.909090909090909,39,0.0201466666666667,38,14,1,3,4.66666666666667,0.12280701754386,3
"2019","Aznalcazar","Cistus crispus","A",4,0,0,0,4,4,1,43.6666666666667,0.01948,18,11,3,3,1.22222222222222,0.0679012345679012,3
"2019","Aznalcazar","Cistus crispus","B",1,1,0,0,1,2,0.5,24,0.00993,24,6,2,3,1,0.0416666666666667,2
"2019","Aznalcazar","Cistus crispus","C",3,4,1,0,4,8,0.5,46.5,0.018935,16.4,12,2,3,2,0.121951219512195,3
"2015","Aznalcazar","Cistus ladanifer","A",9,2,4,0,13,15,0.866666666666667,443.333333333333,0.10042,11,2,3,5,0.133333333333333,0.0121212121212121,2
"2015","Aznalcazar","Cistus ladanifer","B",9,0,7,0,16,16,1,662,0.17144,4.5,2,3,5,0.133333333333333,0.0296296296296296,2
"2016","Aznalcazar","Cistus ladanifer","A",1,0,2,0,3,3,1,356,0.1082,3.66666666666667,6,4,5,0.3,0.0818181818181818,3
"2016","Aznalcazar","Cistus ladanifer","B",2,1,1,0,3,4,0.75,258.666666666667,0.0738766666666667,8.66666666666667,2,3,5,0.133333333333333,0.0153846153846154,2
"2017","Aznalcazar","Cistus ladanifer","A",1,0,1,0,2,2,1,368.5,0.123055,2,4,2,3,0.666666666666667,0.333333333333333,2
"2017","Aznalcazar","Cistus ladanifer","B",3,0,0,0,3,3,1,299.666666666667,0.08143,6,3,1,3,1,0.166666666666667,1
"2018","Aznalcazar","Cistus ladanifer","A",3,0,0,0,3,3,1,788,0.174145,32.6666666666667,21,2,3,3.5,0.107142857142857,3
"2018","Aznalcazar","Cistus ladanifer","B",4,0,1,0,5,5,1,455,0.110395,12,8,1,3,2.66666666666667,0.222222222222222,2
"2018","Aznalcazar","Cistus ladanifer","D",3,0,1,0,4,4,1,398,0.08522,16,6,1,3,2,0.125,2
"2019","Aznalcazar","Cistus ladanifer","A",1,0,0,0,1,1,1,1031,0.30325,8,15,3,3,1.66666666666667,0.208333333333333,3
"2019","Aznalcazar","Cistus ladanifer","B",0,0,1,0,1,1,1,623,0.20557,9.5,10,3,3,1.11111111111111,0.116959064327485,3
"2019","Aznalcazar","Cistus ladanifer","C",2,0,0,0,2,2,1,905,0.20669,12.5,4,2,3,0.666666666666667,0.0533333333333333,2
"2019","Aznalcazar","Cistus monspeliensis","A",6,2,1,0,7,9,0.777777777777778,19,0.0267566666666667,70,14,2,3,2.33333333333333,0.0333333333333333,5
"2019","Aznalcazar","Cistus monspeliensis","B",4,6,2,0,6,12,0.5,19.3333333333333,0.0176166666666667,51,7,2,3,1.16666666666667,0.0228758169934641,4
"2019","Aznalcazar","Cistus monspeliensis","C",0,5,3,0,3,8,0.375,16.5,0.020525,11,1,1,3,0.333333333333333,0.0303030303030303,1
"2015","Aznalcazar","Cistus salviifolius","A",33,5,1,0,34,39,0.871794871794872,40.3333333333333,0.0464,5,1,3,5,0.0666666666666667,0.0133333333333333,1
"2015","Aznalcazar","Cistus salviifolius","C",20,4,7,4,31,35,0.885714285714286,12.1428571428571,0.0153642857142857,6,1,3,5,0.0666666666666667,0.0111111111111111,1
"2016","Aznalcazar","Cistus salviifolius","A",3,0,0,0,3,3,1,10.3333333333333,0.01523,5.8,10,5,5,0.4,0.0689655172413793,4
"2016","Aznalcazar","Cistus salviifolius","B",2,0,0,0,2,2,1,18.5,0.02859,4.5,4,5,5,0.16,0.0355555555555556,2
"2017","Aznalcazar","Cistus salviifolius","A",9,0,3,0,12,12,1,53.3333333333333,0.0607833333333333,16,4,2,3,0.666666666666667,0.0416666666666667,2
"2018","Aznalcazar","Cistus salviifolius","A",5,0,0,0,5,5,1,56.3333333333333,0.0613,46.5,13,2,3,2.16666666666667,0.046594982078853,3
"2018","Aznalcazar","Cistus salviifolius","B",3,0,1,0,4,4,1,33.6666666666667,0.0436833333333333,29,18,2,3,3,0.103448275862069,3
"2018","Aznalcazar","Cistus salviifolius","C",4,0,2,0,6,6,1,50,0.0670333333333333,59,10,1,3,3.33333333333333,0.0564971751412429,1
"2018","Aznalcazar","Cistus salviifolius","D",5,0,1,0,6,6,1,45,0.0429833333333333,70,3,1,3,1,0.0142857142857143,1
"2019","Aznalcazar","Cistus salviifolius","A",5,0,0,0,5,5,1,48.3333333333333,0.0645,24,4,2,3,0.666666666666667,0.0277777777777778,2
"2019","Aznalcazar","Cistus salviifolius","B",5,0,0,0,5,5,1,35.3333333333333,0.04557,62,4,1,3,1.33333333333333,0.021505376344086,1
"2019","Aznalcazar","Cistus salviifolius","C",5,0,0,0,5,5,1,44.3333333333333,0.0621633333333333,38,4,2,3,0.666666666666667,0.0175438596491228,2
"2015","Aznalcazar","Lavandula pedunculata","A",86,18,0,0,86,104,0.826923076923077,2,0.0005625,20.3333333333333,2,3,5,0.133333333333333,0.00655737704918033,2
"2015","Aznalcazar","Lavandula pedunculata","B",20,37,0,0,20,57,0.350877192982456,1.66666666666667,0.000426666666666667,31,2,3,5,0.133333333333333,0.0043010752688172,2
"2017","Aznalcazar","Lavandula pedunculata","A",43,37,87,0,130,167,0.778443113772455,1.66666666666667,0.000416666666666667,20,6,1,3,2,0.1,2
"2018","Aznalcazar","Lavandula pedunculata","A",58,59,7,0,65,124,0.524193548387097,2,0.0012,266.666666666667,26,2,3,4.33333333333333,0.01625,2
"2018","Aznalcazar","Lavandula pedunculata","B",79,35,2,0,81,116,0.698275862068966,2.33333333333333,0.00119333333333333,246.666666666667,15,3,3,1.66666666666667,0.00675675675675676,3
"2018","Aznalcazar","Lavandula pedunculata","C",91,21,5,0,96,117,0.82051282051282,3,0.00152333333333333,200,15,1,3,5,0.025,2
"2018","Aznalcazar","Lavandula pedunculata","D",94,29,0,0,94,123,0.764227642276423,1.66666666666667,0.00108333333333333,437.5,62,2,3,10.3333333333333,0.0236190476190476,3
"2019","Aznalcazar","Lavandula pedunculata","A",136,14,0,0,136,150,0.906666666666667,1.66666666666667,0.00107666666666667,237.5,13,3,3,1.44444444444444,0.00608187134502924,2
"2019","Aznalcazar","Lavandula pedunculata","B",124,13,0,0,124,137,0.905109489051095,1.66666666666667,0.00113,290,45,3,3,5,0.0172413793103448,2
"2019","Aznalcazar","Lavandula pedunculata","C",115,29,0,0,115,144,0.798611111111111,1.66666666666667,0.00117666666666667,188,36,3,3,4,0.0212765957446809,3
"2017","Aznalcazar","Lavandula stoechas","B",93,33,2,0,95,128,0.7421875,2.33333333333333,0.000226666666666667,50,10,1,3,3.33333333333333,0.0666666666666667,2
"2017","Aznalcazar","Teucrium fruticans","A",0,4,0,6,6,10,0.6,6,0.00261,32.2,6,4,3,0.5,0.015527950310559,2
"2017","Aznalcazar","Teucrium fruticans","C",19,12,7,0,26,38,0.684210526315789,1,0.00272,46.4,52,3,3,5.77777777777778,0.124521072796935,3
"2018","Bonares","Cistus crispus","A",10,1,0,0,10,11,0.909090909090909,42.3333333333333,0.0202533333333333,20.5,25,3,3,2.77777777777778,0.13550135501355,3
"2018","Bonares","Cistus crispus","B",2,0,3,0,5,5,1,29,0.01384,22.5,23,3,3,2.55555555555556,0.11358024691358,3
"2018","Bonares","Cistus crispus","C",4,0,0,0,4,4,1,36,0.0199166666666667,21.75,13,2,3,2.16666666666667,0.0996168582375479,3
"2018","Bonares","Cistus crispus","D",6,0,0,0,6,6,1,47.6666666666667,0.0251833333333333,22,2,1,3,0.666666666666667,0.0303030303030303,1
"2015","Bonares","Cistus ladanifer","A",7,1,3,0,10,11,0.909090909090909,287.666666666667,0.0795266666666667,11.3333333333333,2,4,5,0.1,0.00882352941176471,2
"2015","Bonares","Cistus ladanifer","B",11,0,3,0,14,14,1,213,0.050955,8.5,1,4,5,0.05,0.00588235294117647,1
"2015","Bonares","Cistus ladanifer","C",4,0,1,0,5,5,1,269.666666666667,0.06537,5.5,3,4,5,0.15,0.0272727272727273,1
"2018","Bonares","Cistus ladanifer","A",2,0,0,0,2,2,1,499.5,0.1312,12,2,1,3,0.666666666666667,0.0555555555555556,1
"2018","Bonares","Cistus ladanifer","B",2,0,0,0,2,2,1,515,0.13741,3,6,1,3,2,0.666666666666667,2
"2018","Bonares","Cistus ladanifer","C",1,0,2,0,3,3,1,505,0.134285,4,15,1,3,5,1.25,1
"2019","Bonares","Cistus ladanifer","A",0,0,1,0,1,1,1,247,0.04523,5,2,1,3,0.666666666666667,0.133333333333333,1
"2019","Bonares","Cistus ladanifer","B",1,0,0,0,1,1,1,655,0.12706,7,8,1,3,2.66666666666667,0.380952380952381,3
"2019","Bonares","Cistus ladanifer","C",1,0,0,0,1,1,1,611,0.13585,2,1,1,3,0.333333333333333,0.166666666666667,1
"2015","Bonares","Cistus salviifolius","A",11,2,0,0,11,13,0.846153846153846,60,0.0720366666666667,40,3,4,5,0.15,0.00375,2
"2015","Bonares","Cistus salviifolius","B",9,5,0,0,9,14,0.642857142857143,40.6,0.033884,29.6666666666667,3,4,5,0.15,0.0050561797752809,2
"2015","Bonares","Cistus salviifolius","C",7,0,1,0,8,8,1,57.6666666666667,0.0551433333333333,36,5,4,5,0.25,0.00694444444444444,4
"2016","Bonares","Cistus salviifolius","A",1,0,0,0,1,1,1,7,0.01433,7.5,1,2,5,0.1,0.0133333333333333,1
"2017","Bonares","Cistus salviifolius","A",6,0,2,0,8,8,1,46,0.0582533333333333,24.25,6,2,3,1,0.0412371134020619,5
"2017","Bonares","Cistus salviifolius","B",3,0,3,0,6,6,1,49,0.0598733333333333,27.6666666666667,3,2,3,0.5,0.0180722891566265,3
"2018","Bonares","Cistus salviifolius","A",0,0,1,0,1,1,1,45,0.03135,6,7,1,3,2.33333333333333,0.388888888888889,1
"2018","Bonares","Cistus salviifolius","B",3,0,1,0,4,4,1,54,0.05799,10,2,1,3,0.666666666666667,0.0666666666666667,1
"2018","Bonares","Cistus salviifolius","C",5,0,0,0,5,5,1,42.6666666666667,0.04926,20,6,2,3,1,0.05,2
"2018","Bonares","Cistus salviifolius","D",2,0,1,0,3,3,1,63,0.0539766666666667,15,4,1,3,1.33333333333333,0.0888888888888889,1
"2019","Bonares","Cistus salviifolius","A",3,0,1,0,4,4,1,25,0.0271266666666667,13,24,3,3,2.66666666666667,0.205128205128205,2
"2019","Bonares","Cistus salviifolius","B",1,0,0,1,2,2,1,43,0.0522,11.5714285714286,30,3,3,3.33333333333333,0.288065843621399,5
"2019","Bonares","Cistus salviifolius","C",3,0,0,0,3,3,1,48,0.0556166666666667,15.6666666666667,14,2,3,2.33333333333333,0.148936170212766,2
"2017","Bonares","Halimium calycinum","A",5,0,1,0,6,6,1,1.5,0.005355,6,1,1,3,0.333333333333333,0.0555555555555556,1
"2019","Bonares","Halimium calycinum","A",1,0,1,1,3,3,1,2,0.00236,38.75,8,2,3,1.33333333333333,0.0344086021505376,3
"2019","Bonares","Halimium calycinum","B",1,0,0,1,2,2,1,2,0.00786,54.6666666666667,11,3,3,1.22222222222222,0.0223577235772358,1
"2019","Bonares","Halimium calycinum","C",1,0,0,1,2,2,1,2,0.00826,105,3,1,3,1,0.00952380952380952,1
"2018","Bonares","Halimium halimifolium","A",2,0,0,0,2,2,1,11.5,0.007805,15,4,1,3,1.33333333333333,0.0888888888888889,1
"2018","Bonares","Halimium halimifolium","B",2,1,0,0,2,3,0.666666666666667,15.5,0.008245,27,7,1,3,2.33333333333333,0.0864197530864198,2
"2018","Bonares","Halimium halimifolium","C",5,2,0,0,5,7,0.714285714285714,11.3333333333333,0.00528333333333333,56.75,44,2,3,7.33333333333333,0.129221732745962,3
"2018","Bonares","Halimium halimifolium","D",2,0,0,0,2,2,1,8.5,0.00604,32,9,1,3,3,0.09375,3
"2019","Bonares","Halimium halimifolium","A",4,0,0,0,4,4,1,19,0.0137633333333333,59.75,13,3,3,1.44444444444444,0.0241748024174802,4
"2019","Bonares","Halimium halimifolium","C",4,0,0,0,4,4,1,20.3333333333333,0.01301,13,3,1,3,1,0.0769230769230769,1
"2017","Bonares","Lavandula pedunculata","A",129,47,2,0,131,178,0.735955056179775,2.33333333333333,0.000606666666666667,126.666666666667,24,3,3,2.66666666666667,0.0210526315789474,1
"2017","Bonares","Lavandula pedunculata","B",123,30,42,0,165,195,0.846153846153846,2.33333333333333,0.00066,266.666666666667,21,2,3,3.5,0.013125,2
"2015","Bonares","Lavandula stoechas","A",397,54,10,0,407,461,0.882863340563991,1.8,0.000638,197.2,33,5,5,1.32,0.00669371196754564,1
"2015","Bonares","Lavandula stoechas","B",353,82,15,0,368,450,0.817777777777778,2.4,0.000684,187.6,50,5,5,2,0.0106609808102345,2
"2015","Bonares","Lavandula stoechas","C",264,91,20,0,284,375,0.757333333333333,2.6,0.000534,144.5,0,2,5,0,0,0
"2016","Bonares","Lavandula stoechas","A",116,13,5,0,121,134,0.902985074626866,3,0.000583333333333333,102.833333333333,18,5,5,0.72,0.00700162074554295,3
"2016","Bonares","Lavandula stoechas","B",97,9,4,0,101,110,0.918181818181818,3,0.000516666666666667,50.6666666666667,18,5,5,0.72,0.0142105263157895,2
"2018","Convento_de_la_luz","Cistus crispus","A",3,4,0,0,3,7,0.428571428571429,42,0.0212333333333333,21.5,8,2,3,1.33333333333333,0.062015503875969,1
"2018","Convento_de_la_luz","Cistus crispus","B",5,5,2,0,7,12,0.583333333333333,36,0.0203966666666667,15.3333333333333,3,2,3,0.5,0.0326086956521739,3
"2015","Convento_de_la_luz","Cistus ladanifer","A",4,0,2,0,6,6,1,569.5,0.14401,21,16,5,5,0.64,0.0304761904761905,5
"2015","Convento_de_la_luz","Cistus ladanifer","B",4,4,3,0,7,11,0.636363636363636,107,0.03072,36.5,64,5,5,2.56,0.0701369863013699,1
"2016","Convento_de_la_luz","Cistus ladanifer","A",1,0,1,0,2,2,1,113,0.04297,11.5,5,5,5,0.2,0.0173913043478261,2
"2017","Convento_de_la_luz","Cistus ladanifer","A",3,0,0,0,3,3,1,700.666666666667,0.210983333333333,3.66666666666667,8,3,3,0.888888888888889,0.242424242424242,3
"2017","Convento_de_la_luz","Cistus ladanifer","B",3,0,1,0,4,4,1,329.333333333333,0.112026666666667,8,5,1,3,1.66666666666667,0.208333333333333,2
"2015","Convento_de_la_luz","Cistus salviifolius","B",3,0,1,0,4,4,1,40.4,0.039378,62.25,28,5,5,1.12,0.0179919678714859,4
