"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Dip_freq","Hym_freq","Frequency","Fruit_proportion","seed_number","Seed_weight"
"1",2015,"Aznalcazar","Asphodelus fistulosus","A",6,7,1,1,11,13,1,0,0
"2",2015,"Aznalcazar","Asphodelus fistulosus","B",3,3,2,1,1,4,0.576797385620915,2,0.00732833333333333
"3",2015,"Aznalcazar","Asphodelus fistulosus","C",1,1,0,0,1,1,0.866071428571429,2.66666666666667,0.00834904761904762
"4",2017,"Aznalcazar","Asphodelus fistulosus","A",2,2,0,1,2,3,1,2.9,0.022531
"5",2017,"Aznalcazar","Asphodelus fistulosus","B",2,2,0,0,6,6,0.375,2.63636363636364,0.0116645454545455
"6",2017,"Aznalcazar","Asphodelus fistulosus","C",1,1,0,0,1,1,0.5,2.81818181818182,0.02078
"7",2018,"Aznalcazar","Asphodelus fistulosus","A",2,2,0,0,13,13,0.923076923076923,1.66666666666667,0.01362
"8",2018,"Aznalcazar","Asphodelus fistulosus","B",2,2,0,0,8,8,1,1.33333333333333,0.0193533333333333
"9",2018,"Aznalcazar","Asphodelus fistulosus","C",1,1,0,0,17,17,1,1,0.0116266666666667
"10",2018,"Aznalcazar","Asphodelus fistulosus","D",1,1,0,0,7,7,0.882352941176471,1.33333333333333,0.0148333333333333
"11",2018,"Aznalcazar","Asphodelus fistulosus","E",1,1,0,0,3,3,0,0,0
"12",2015,"Aznalcazar","Cistus crispus","A",2,2,0,0,2,2,0,0,0
"13",2015,"Aznalcazar","Cistus crispus","B",1,2,0,0,2,2,0,0,0
"14",2016,"Aznalcazar","Cistus crispus","A",1,1,0,0,1,1,0,0,0
"15",2016,"Aznalcazar","Cistus crispus","B",1,1,0,0,1,1,0,0,0
"16",2017,"Aznalcazar","Cistus crispus","A",1,1,0,0,1,1,1,47.6666666666667,0.0207533333333333
"17",2017,"Aznalcazar","Cistus crispus","B",1,1,1,0,0,1,1,36,0.0186333333333333
"18",2018,"Aznalcazar","Cistus crispus","A",3,3,0,0,35,35,1,42.3333333333333,0.0229266666666667
"19",2018,"Aznalcazar","Cistus crispus","B",2,2,0,0,19,19,1,42.3333333333333,0.0211366666666667
"20",2018,"Aznalcazar","Cistus crispus","C",2,2,0,0,8,8,0.888888888888889,41,0.02321
"21",2018,"Aznalcazar","Cistus crispus","D",3,3,0,0,14,14,0.857142857142857,39,0.0201466666666667
"22",2015,"Aznalcazar","Cistus ladanifer","A",1,2,1,0,1,2,0.62962962962963,443.333333333333,0.10042
"23",2015,"Aznalcazar","Cistus ladanifer","B",1,1,0,0,1,1,1,662,0.17144
"24",2015,"Aznalcazar","Cistus ladanifer","C",1,1,0,0,1,1,0,0,0
"25",2016,"Aznalcazar","Cistus ladanifer","A",2,3,1,0,5,6,1,356,0.1082
"26",2016,"Aznalcazar","Cistus ladanifer","B",0,0,0,0,0,0,0.666666666666667,258.666666666667,0.0738766666666667
"27",2017,"Aznalcazar","Cistus ladanifer","A",2,2,3,0,1,4,1,368.5,0.123055
"28",2017,"Aznalcazar","Cistus ladanifer","B",1,1,0,0,3,3,1,299.666666666667,0.08143
"29",2018,"Aznalcazar","Cistus ladanifer","A",3,3,3,0,18,21,1,788,0.174145
"30",2018,"Aznalcazar","Cistus ladanifer","B",2,2,6,0,2,8,1,455,0.110395
"31",2018,"Aznalcazar","Cistus ladanifer","C",0,0,0,0,0,0,0,537.5,0.16215
"32",2018,"Aznalcazar","Cistus ladanifer","D",2,2,0,0,6,6,1,398,0.08522
