"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Coleop_visit","Dip_freq","Dip_visit","Hym_freq","Hym_visit","flower_abundance","Frequency","visitatio_rate","Fruit_proportion","Fruit_Yes","Fruit_No","Fruit_Total","Seeds","Seed_weight"
"1",2015,"Aznalcazar","Asphodelus fistulosus","A",0,1,0,0,0,0,1,0.25,4,1,0.25,1,23,0,23,0,0
"2",2015,"Aznalcazar","Asphodelus fistulosus","B",1,1,0,0,0,0,1,0.037037037037037,27,1,0.037037037037037,0.576797385620915,23,16,39,1.33333333333333,0.00732833333333333
"3",2015,"Aznalcazar","Asphodelus fistulosus","C",1,1,0,0,0,0,1,0.0769230769230769,13,1,0.0769230769230769,0.866071428571429,40,6,46,1.38095238095238,0.00834904761904762
"4",2017,"Aznalcazar","Asphodelus fistulosus","A",2,2,0,0,1,0.0285714285714286,2,0.0571428571428571,35,3,0.0857142857142857,1,15,0,15,2.3,0.022531
"5",2017,"Aznalcazar","Asphodelus fistulosus","B",2,2,0,0,0,0,6,0.15,40,6,0.15,0.375,6,2,8,2,0.0116645454545455
"6",2017,"Aznalcazar","Asphodelus fistulosus","C",1,1,0,0,0,0,1,0.2,5,1,0.2,0.5,6,1,7,2.18181818181818,0.02078
"7",2018,"Aznalcazar","Asphodelus fistulosus","A",2,2,0,0,0,0,13,0.433333333333333,30,13,0.433333333333333,0.923076923076923,12,1,13,1.66666666666667,0.01362
"8",2018,"Aznalcazar","Asphodelus fistulosus","B",2,2,0,0,0,0,8,0.181818181818182,44,8,0.181818181818182,1,9,0,9,1.33333333333333,0.0193533333333333
"9",2018,"Aznalcazar","Asphodelus fistulosus","C",1,1,0,0,0,0,17,0.607142857142857,28,17,0.607142857142857,1,9,0,9,1,0.0116266666666667
"10",2018,"Aznalcazar","Asphodelus fistulosus","D",1,1,0,0,0,0,7,0.28,25,7,0.28,0.882352941176471,15,2,17,1.33333333333333,0.0148333333333333
"11",2018,"Aznalcazar","Asphodelus fistulosus","E",1,1,0,0,0,0,3,0.3,10,3,0.3,0,0,0,0,0,0
"12",2015,"Aznalcazar","Cistus crispus","A",2,2,0,0,0,0,2,0.142857142857143,14,2,0.142857142857143,0,0,0,0,0,0
"13",2015,"Aznalcazar","Cistus crispus","B",1,2,0,0,0,0,2,0.222222222222222,9,2,0.222222222222222,0,0,0,0,0,0
"14",2016,"Aznalcazar","Cistus crispus","A",1,1,0,0,0,0,1,0.0909090909090909,11,1,0.0909090909090909,0,0,0,0,0,0
"15",2016,"Aznalcazar","Cistus crispus","B",1,1,0,0,0,0,1,0.125,8,1,0.125,0,0,0,0,0,0
"16",2017,"Aznalcazar","Cistus crispus","A",1,1,0,0,0,0,1,0.0909090909090909,11,1,0.0909090909090909,1,5,0,5,47.6666666666667,0.0207533333333333
"17",2017,"Aznalcazar","Cistus crispus","B",1,1,1,0.1,0,0,0,0,10,1,0.1,1,6,0,6,36,0.0186333333333333
"18",2018,"Aznalcazar","Cistus crispus","A",3,3,0,0,0,0,35,0.227272727272727,154,35,0.227272727272727,1,7,0,7,42.3333333333333,0.0229266666666667
"19",2018,"Aznalcazar","Cistus crispus","B",2,2,0,0,0,0,19,0.0614886731391586,309,19,0.0614886731391586,1,8,0,8,42.3333333333333,0.0211366666666667
"20",2018,"Aznalcazar","Cistus crispus","C",2,2,0,0,0,0,8,0.10126582278481,79,8,0.10126582278481,0.888888888888889,8,1,9,41,0.02321
"21",2018,"Aznalcazar","Cistus crispus","D",3,3,0,0,0,0,14,0.12280701754386,114,14,0.12280701754386,0.857142857142857,6,1,7,39,0.0201466666666667
"22",2015,"Aznalcazar","Cistus ladanifer","A",1,2,1,0.0454545454545455,0,0,1,0.0454545454545455,22,2,0.0909090909090909,0.62962962962963,9,2,11,443.333333333333,0.10042
"23",2015,"Aznalcazar","Cistus ladanifer","B",2,2,0,0,0,0,1,0.111111111111111,9,1,0.111111111111111,1,9,0,9,662,0.17144
"24",2015,"Aznalcazar","Cistus ladanifer","C",1,1,0,0,0,0,1,0.333333333333333,3,1,0.333333333333333,0,0,0,0,0,0
"25",2016,"Aznalcazar","Cistus ladanifer","A",2,3,1,0.0666666666666667,0,0,5,0.333333333333333,15,6,0.4,1,1,0,1,356,0.1082
"26",2016,"Aznalcazar","Cistus ladanifer","B",1,2,0,0,0,0,0,0,24,0,0,0.666666666666667,2,1,3,258.666666666667,0.0738766666666667
"27",2017,"Aznalcazar","Cistus ladanifer","A",2,2,3,0.75,0,0,1,0.25,4,4,1,1,1,0,1,368.5,0.123055
"28",2017,"Aznalcazar","Cistus ladanifer","B",1,1,0,0,0,0,3,0.5,6,3,0.5,1,3,0,3,299.666666666667,0.08143
"29",2018,"Aznalcazar","Cistus ladanifer","A",3,3,3,0.0306122448979592,0,0,18,0.183673469387755,98,21,0.214285714285714,1,3,0,3,788,0.174145
"30",2018,"Aznalcazar","Cistus ladanifer","B",2,2,6,0.25,0,0,2,0.0833333333333333,24,8,0.333333333333333,1,4,0,4,455,0.110395
"31",2018,"Aznalcazar","Cistus ladanifer","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.5,0.16215
"32",2018,"Aznalcazar","Cistus ladanifer","D",2,2,0,0,0,0,6,0.1875,32,6,0.1875,1,3,0,3,398,0.08522
"33",2015,"Aznalcazar","Cistus salviifolius","A",1,1,0,0,0,0,1,0.142857142857143,7,1,0.142857142857143,0.314285714285714,33,5,38,40.3333333333333,0.0464
"34",2015,"Aznalcazar","Cistus salviifolius","B",0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0
"35",2015,"Aznalcazar","Cistus salviifolius","C",1,1,0,0,0,0,1,0.166666666666667,6,1,0.166666666666667,0.733333333333333,20,4,24,42.5,0.053775
"36",2016,"Aznalcazar","Cistus salviifolius","A",4,4,0,0,2,0.0689655172413793,7,0.241379310344828,29,9,0.310344827586207,1,3,0,3,10.3333333333333,0.01523
"37",2016,"Aznalcazar","Cistus salviifolius","B",1,2,0,0,0,0,4,0.285714285714286,14,4,0.285714285714286,1,2,0,2,18.5,0.02859
"38",2016,"Aznalcazar","Cistus salviifolius","C",0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,2,1,3,56.5,0.068065
"39",2017,"Aznalcazar","Cistus salviifolius","A",2,2,2,0.0416666666666667,2,0.0416666666666667,0,0,48,4,0.0833333333333333,1,9,0,9,56.6666666666667,0.0639933333333333
"40",2017,"Aznalcazar","Cistus salviifolius","B",0,0,0,0,0,0,0,0,0,0,0,1,7,0,7,50,0.0575733333333333
"41",2018,"Aznalcazar","Cistus salviifolius","A",3,3,5,0.0268817204301075,0,0,8,0.043010752688172,186,13,0.0698924731182796,1,5,0,5,56.3333333333333,0.0613
"42",2018,"Aznalcazar","Cistus salviifolius","B",3,3,8,0.0919540229885057,0,0,10,0.114942528735632,87,18,0.206896551724138,1,3,0,3,33.6666666666667,0.0436833333333333
"43",2018,"Aznalcazar","Cistus salviifolius","C",1,1,0,0,0,0,10,0.169491525423729,59,10,0.169491525423729,1,4,0,4,50,0.0670333333333333
"44",2018,"Aznalcazar","Cistus salviifolius","D",1,1,0,0,0,0,3,0.0428571428571429,70,3,0.0428571428571429,1,5,0,5,45,0.0429833333333333
"45",2015,"Aznalcazar","Halimium commutatum","A",1,1,0,0,0,0,1,0.25,4,1,0.25,0,0,0,0,0,0
"46",2015,"Aznalcazar","Lavandula pedunculata","A",0,0,0,0,0,0,0,0,0,0,0,0.275641025641026,86,18,104,1,0.000455
"47",2015,"Aznalcazar","Lavandula pedunculata","B",0,0,0,0,0,0,0,0,0,0,0,0.116959064327485,20,37,57,1,0.000482
"48",2015,"Aznalcazar","Lavandula pedunculata","C",0,0,0,0,0,0,0,0,0,0,0,0.41947188066922,138,65,203,0,0
"49",2016,"Aznalcazar","Lavandula pedunculata","A",0,0,0,0,0,0,0,0,0,0,0,0.911290322580645,113,11,124,1,0.0004975
"50",2016,"Aznalcazar","Lavandula pedunculata","B",0,0,0,0,0,0,0,0,0,0,0,1,81,0,81,1,0.000604
"51",2017,"Aznalcazar","Lavandula pedunculata","A",2,2,0,0,0,0,6,0.15,40,6,0.15,0.557482394366197,125,97,222,1,0.000578333333333333
"52",2017,"Aznalcazar","Lavandula pedunculata","B",0,0,0,0,0,0,0,0,0,0,0,0.811196379378198,200,47,247,1,0.000499375
"53",2018,"Aznalcazar","Lavandula pedunculata","A",2,2,0,0,0,0,26,0.0325,800,26,0.0325,0.495726495726496,58,59,117,2,0.0012
"54",2018,"Aznalcazar","Lavandula pedunculata","B",3,3,0,0,3,0.00405405405405405,12,0.0162162162162162,740,15,0.0202702702702703,0.692982456140351,79,35,114,2.33333333333333,0.00119333333333333
"55",2018,"Aznalcazar","Lavandula pedunculata","C",2,2,0,0,0,0,15,0.0375,400,15,0.0375,0.8125,91,21,112,3,0.00152333333333333
"56",2018,"Aznalcazar","Lavandula pedunculata","D",3,3,0,0,0,0,62,0.0354285714285714,1750,62,0.0354285714285714,0.764227642276423,94,29,123,1.66666666666667,0.00108333333333333
"57",2015,"Aznalcazar","Lavandula stoechas","A",2,2,0,0,0,0,2,0.0476190476190476,42,2,0.0476190476190476,0,0,0,0,0,0
"58",2015,"Aznalcazar","Lavandula stoechas","B",2,2,0,0,0,0,2,0.025,80,2,0.025,0,0,0,0,0,0
"59",2015,"Aznalcazar","Lavandula stoechas","C",2,2,0,0,0,0,4,0.0533333333333333,75,4,0.0533333333333333,0,0,0,0,0,0
"60",2017,"Aznalcazar","Lavandula stoechas","B",2,2,0,0,0,0,10,0.1,100,10,0.1,0,0,0,0,0,0
"61",2016,"Aznalcazar","Rosmarinus officinalis","A",1,1,0,0,0,0,1,0.25,4,1,0.25,0,0,0,0,0,0
