"","Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","richness","Flower_abundance","Frequency","freq_minute","visitatio_rate","visitation_rate_minute"
"1",2015,"Aznalcazar","Asphodelus fistulosus","B",23,16,7,0,30,46,0.652173913043478,2.66666666666667,0.00911833333333333,3,27,4,0.8,0.148148148148148,0.0296296296296296
"2",2015,"Aznalcazar","Asphodelus fistulosus","C",40,6,21,0,61,67,0.91044776119403,4.14285714285714,0.0130114285714286,1,13,1,0.2,0.0769230769230769,0.0153846153846154
"3",2017,"Aznalcazar","Asphodelus fistulosus","A",15,0,9,0,24,24,1,3.6,0.02561,2,17.5,3,1,0.171428571428571,0.0571428571428571
"4",2017,"Aznalcazar","Asphodelus fistulosus","B",6,2,9,1,16,18,0.888888888888889,3.4,0.014385,2,16.6666666666667,6,2,0.36,0.12
"5",2017,"Aznalcazar","Asphodelus fistulosus","C",6,1,22,0,28,29,0.96551724137931,4,0.0302016666666667,1,5,1,0.333333333333333,0.2,0.0666666666666667
"6",2018,"Aznalcazar","Asphodelus fistulosus","A",12,1,9,0,21,22,0.954545454545455,1.66666666666667,0.01362,2,15,13,4.33333333333333,0.866666666666667,0.288888888888889
"7",2018,"Aznalcazar","Asphodelus fistulosus","B",9,0,15,1,25,25,1,1.33333333333333,0.0193533333333333,2,22,8,2.66666666666667,0.363636363636364,0.121212121212121
"8",2018,"Aznalcazar","Asphodelus fistulosus","C",9,0,6,0,15,15,1,1,0.0116266666666667,1,14,17,5.66666666666667,1.21428571428571,0.404761904761905
"9",2018,"Aznalcazar","Asphodelus fistulosus","D",15,2,18,0,33,35,0.942857142857143,1.33333333333333,0.0148333333333333,1,25,7,2.33333333333333,0.28,0.0933333333333333
"10",2017,"Aznalcazar","Cistus crispus","A",5,0,0,0,5,5,1,47.6666666666667,0.0207533333333333,1,11,1,0.333333333333333,0.0909090909090909,0.0303030303030303
"11",2017,"Aznalcazar","Cistus crispus","B",6,0,0,0,6,6,1,36,0.0186333333333333,1,10,1,0.333333333333333,0.1,0.0333333333333333
"12",2018,"Aznalcazar","Cistus crispus","A",7,0,0,0,7,7,1,42.3333333333333,0.0229266666666667,3,30.8,35,11.6666666666667,1.13636363636364,0.378787878787879
"13",2018,"Aznalcazar","Cistus crispus","B",8,0,1,1,10,10,1,42.3333333333333,0.0211366666666667,2,61.8,19,6.33333333333333,0.307443365695793,0.102481121898598
"14",2018,"Aznalcazar","Cistus crispus","C",8,1,4,0,12,13,0.923076923076923,41,0.02321,2,26.3333333333333,8,2.66666666666667,0.30379746835443,0.10126582278481
"15",2018,"Aznalcazar","Cistus crispus","D",6,1,4,0,10,11,0.909090909090909,39,0.0201466666666667,3,38,14,4.66666666666667,0.368421052631579,0.12280701754386
"16",2019,"Aznalcazar","Cistus crispus","A",4,0,0,0,4,4,1,43.6666666666667,0.01948,3,18,11,3.66666666666667,0.611111111111111,0.203703703703704
"17",2019,"Aznalcazar","Cistus crispus","B",1,1,0,0,1,2,0.5,24,0.00993,2,24,6,2,0.25,0.0833333333333333
"18",2019,"Aznalcazar","Cistus crispus","C",3,4,1,0,4,8,0.5,46.5,0.018935,3,16.4,12,4,0.731707317073171,0.24390243902439
"19",2015,"Aznalcazar","Cistus ladanifer","A",9,2,4,0,13,15,0.866666666666667,443.333333333333,0.10042,2,11,2,0.4,0.181818181818182,0.0363636363636364
"20",2015,"Aznalcazar","Cistus ladanifer","B",9,0,7,0,16,16,1,662,0.17144,2,4.5,2,0.4,0.444444444444444,0.0888888888888889
"21",2016,"Aznalcazar","Cistus ladanifer","A",1,0,2,0,3,3,1,356,0.1082,3,3.66666666666667,6,1.2,1.63636363636364,0.327272727272727
"22",2016,"Aznalcazar","Cistus ladanifer","B",2,1,1,0,3,4,0.75,258.666666666667,0.0738766666666667,2,8.66666666666667,2,0.4,0.230769230769231,0.0461538461538462
"23",2017,"Aznalcazar","Cistus ladanifer","A",1,0,1,0,2,2,1,368.5,0.123055,2,2,4,1.33333333333333,2,0.666666666666667
"24",2017,"Aznalcazar","Cistus ladanifer","B",3,0,0,0,3,3,1,299.666666666667,0.08143,1,6,3,1,0.5,0.166666666666667
"25",2018,"Aznalcazar","Cistus ladanifer","A",3,0,0,0,3,3,1,788,0.174145,3,32.6666666666667,21,7,0.642857142857143,0.214285714285714
"26",2018,"Aznalcazar","Cistus ladanifer","B",4,0,1,0,5,5,1,455,0.110395,2,12,8,2.66666666666667,0.666666666666667,0.222222222222222
"27",2018,"Aznalcazar","Cistus ladanifer","D",3,0,1,0,4,4,1,398,0.08522,2,16,6,2,0.375,0.125
"28",2019,"Aznalcazar","Cistus ladanifer","A",1,0,0,0,1,1,1,1031,0.30325,3,8,15,5,1.875,0.625
"29",2019,"Aznalcazar","Cistus ladanifer","B",0,0,1,0,1,1,1,623,0.20557,3,9.5,10,3.33333333333333,1.05263157894737,0.350877192982456
"30",2019,"Aznalcazar","Cistus ladanifer","C",2,0,0,0,2,2,1,905,0.20669,2,12.5,4,1.33333333333333,0.32,0.106666666666667
"31",2017,"Aznalcazar","Cistus monspeliensis","A",8,1,0,0,8,9,0.888888888888889,16,0.0180933333333333,1,7,3,1,0.428571428571429,0.142857142857143
"32",2019,"Aznalcazar","Cistus monspeliensis","A",6,2,1,0,7,9,0.777777777777778,19,0.0267566666666667,5,70,14,4.66666666666667,0.2,0.0666666666666667
"33",2019,"Aznalcazar","Cistus monspeliensis","B",4,6,2,0,6,12,0.5,19.3333333333333,0.0176166666666667,4,51,7,2.33333333333333,0.137254901960784,0.0457516339869281
"34",2019,"Aznalcazar","Cistus monspeliensis","C",0,5,3,0,3,8,0.375,16.5,0.020525,1,11,1,0.333333333333333,0.0909090909090909,0.0303030303030303
"35",2015,"Aznalcazar","Cistus salviifolius","A",33,5,1,0,34,39,0.871794871794872,40.3333333333333,0.0464,1,5,1,0.2,0.2,0.04
"36",2015,"Aznalcazar","Cistus salviifolius","C",20,4,7,4,31,35,0.885714285714286,12.1428571428571,0.0153642857142857,1,6,1,0.2,0.166666666666667,0.0333333333333333
"37",2016,"Aznalcazar","Cistus salviifolius","A",3,0,0,0,3,3,1,10.3333333333333,0.01523,4,5.8,10,2,1.72413793103448,0.344827586206897
"38",2016,"Aznalcazar","Cistus salviifolius","B",2,0,0,0,2,2,1,18.5,0.02859,2,4.5,4,0.8,0.888888888888889,0.177777777777778
"39",2017,"Aznalcazar","Cistus salviifolius","A",9,0,3,0,12,12,1,53.3333333333333,0.0607833333333333,2,16,4,1.33333333333333,0.25,0.0833333333333333
"40",2018,"Aznalcazar","Cistus salviifolius","A",5,0,0,0,5,5,1,56.3333333333333,0.0613,3,46.5,13,4.33333333333333,0.279569892473118,0.0931899641577061
"41",2018,"Aznalcazar","Cistus salviifolius","B",3,0,1,0,4,4,1,33.6666666666667,0.0436833333333333,3,29,18,6,0.620689655172414,0.206896551724138
"42",2018,"Aznalcazar","Cistus salviifolius","C",4,0,2,0,6,6,1,50,0.0670333333333333,1,59,10,3.33333333333333,0.169491525423729,0.0564971751412429
"43",2018,"Aznalcazar","Cistus salviifolius","D",5,0,1,0,6,6,1,45,0.0429833333333333,1,70,3,1,0.0428571428571429,0.0142857142857143
"44",2019,"Aznalcazar","Cistus salviifolius","A",5,0,0,0,5,5,1,48.3333333333333,0.0645,2,24,4,1.33333333333333,0.166666666666667,0.0555555555555556
"45",2019,"Aznalcazar","Cistus salviifolius","B",5,0,0,0,5,5,1,35.3333333333333,0.04557,1,62,4,1.33333333333333,0.0645161290322581,0.021505376344086
"46",2019,"Aznalcazar","Cistus salviifolius","C",5,0,0,0,5,5,1,44.3333333333333,0.0621633333333333,2,38,4,1.33333333333333,0.105263157894737,0.0350877192982456
