"","Pollinator_gen_sp","Site_ID","Collector","Day","Month","Year","time_obs","Time","Round","Weather","Temperature","Humidity","Wind","Notes","Plant_genus","Plant_species","Plant_individual","Orden","Out","Notes_pollinators","Pollinator_id","Pollinator_genus","Pollinator_species","Subespecies","Pollinator_sex","morphospecie","Det","Frequency","Flower_abundance","Plant_gen_sp","plant_id"
"1","Andrena agilissima","Urbanizaciones","Curro",22,5,2018,3,"12:00:00",9,"sol_y_nubes",25,45,"sin_viento",NA,"Halimium","halimifolium","HHA","Hymenoptera","focal",NA,NA,"Andrena","agilissima",NA,"female",NA,NA,2,19,"Halimium halimifolium","A"
"2","Andrena agilissima","Convento_de_la_luz","Mary",22,3,2017,3,"14:40:00",3,"sol_y_nubes",20,40,"fuerte",NA,"Cistus","ladanifer","CLA","Hymenoptera","focal",NA,NA,"Andrena","agilissima",NA,"female",NA,NA,1,6,"Cistus ladanifer","A"
"3","Andrena agilissima","Urbanizaciones","Curro",22,5,2018,3,"12:00:00",9,"sol_y_nubes",25,45,"sin_viento",NA,"Cistus","crispus","CCA","Hymenoptera","focal",NA,NA,"Andrena","agilissima",NA,"female",NA,NA,3,8,"Cistus crispus","A"
"4","Andrena angustior","Convento_de_la_luz","Oscar",29,3,2015,5,"10:40:00",3,"sol",17,45,"suave",NA,"Cistus","salviifolius","C","Hymenoptera","focal",NA,"BF285","Andrena","angustior",NA,"female",NA,NA,2,6,"Cistus salviifolius","C"
"5","Andrena cinerea","Urbanizaciones","Curro",26,4,2018,3,"14:00:00",6,NA,30,25,"moderado",NA,"Cistus","crispus","CCA","Hymenoptera","focal",NA,NA,"Andrena","cinerea","elliptica","female",NA,NA,1,9,"Cistus crispus","A"
"6","Andrena cinerea","Esparragal","Oscar",20,4,2015,5,"11:40:00",5,"sol",20,34,"moderado",NA,"Cistus","salviifolius","A","Hymenoptera","focal",NA,"BF65","Andrena","cinerea",NA,"female",NA,NA,1,7,"Cistus salviifolius","A"
"7","Andrena cinerea","Convento_de_la_luz","Curro",22,5,2018,3,"10:50:00",9,"nubes",24,40,"sin_viento",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,"BF1180","Andrena","cinerea","elliptica","female",NA,NA,1,2,"Cistus crispus","B"
"8","Andrena cinerea","La_rocina","Curro",14,3,2019,3,"10:44:00",3,"sol",17,60,"fuerte",NA,"Salvia","rosmarinus","A","Hymenoptera","focal",NA,"BF1383","Andrena","cinerea","elliptica","female",NA,NA,3,100,"Salvia rosmarinus","A"
"9","Andrena flavipes","Villamanrique_sur","Oscar",27,3,2015,5,"16:10:00",3,"sol",27,31,"suave",NA,"Halimium","calycinum","B","Hymenoptera","focal",NA,"PERDIDO","Andrena","flavipes",NA,"female",NA,NA,1,11,"Halimium calycinum","B"
"10","Andrena flavipes","Bonares","Patrick & Crona",27,3,2018,3,"10:40:00",4,"sol",14,63,"sin_viento",NA,"Cistus","salviifolius","CSC","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,3,20,"Cistus salviifolius","C"
"11","Andrena flavipes","Urbanizaciones","Oscar",29,3,2015,5,"12:10:00",3,"sol",22,35,"suave",NA,"Lavandula","stoechas","A","Hymenoptera","focal",NA,"BF283","Andrena","flavipes",NA,"female",NA,NA,2,43,"Lavandula stoechas","A"
"12","Andrena flavipes","Esparragal","Curro",6,6,2018,3,"11:00:00",10,"sol_y_nubes",22,46,"suave",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,1,12,"Cistus crispus","B"
"13","Andrena flavipes","Aznalcazar","Oscar",28,4,2015,5,"10:35:00",5,"sol",18,46,"sin_viento",NA,"Cistus","crispus","A","Hymenoptera","focal","Foto","BF142","Andrena","flavipes",NA,"female",NA,NA,1,7,"Cistus crispus","A"
"14","Andrena flavipes","Villamanrique_este","Oscar",28,4,2015,5,"15:25:00",5,"sol",28,29,"sin_viento",NA,"Cistus","crispus","A","Hymenoptera","focal",NA,"not_captured","Andrena","flavipes",NA,"female",NA,NA,1,NA,"Cistus crispus","A"
"15","Andrena flavipes","El_pozo","Curro",27,3,2019,3,"10:00:00",4,"sol",17,35,"fuerte",NA,"Cistus","ladanifer","B","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,4,5,"Cistus ladanifer","B"
"16","Andrena flavipes","Convento_de_la_luz","Oscar",5,3,2016,5,"12:20:00",1,"sol",23,32,"suave","foto","Cistus","ladanifer","A","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,1,18,"Cistus ladanifer","A"
