"","Plant_gen_sp","Site_ID","cv_1_fruit","cv_1_seed","cv_1_visitation","log_VR","syncLM","S_total"
"1","Asphodelus fistulosus","Aznalcazar",8.55588682354295,2.19170121576589,0.815078876721005,0.042898261935472,0.396275254013483,6
"2","Asphodelus fistulosus","Niebla",55.6671448148119,4.67305351045023,6.00545338875252,-4.0342406381524,0.00444444444444447,4
"3","Asphodelus fistulosus","Pino_del_cuervo",NA,NA,NA,NA,NA,8
"4","Cistus crispus","Aznalcazar",4.8189675367095,20.0118912861205,2.2758460253777,-0.984213117295167,0.0557480164081226,9
"5","Cistus crispus","Bonares",NA,NA,NA,NA,NA,6
"6","Cistus crispus","Convento_de_la_luz",NA,NA,NA,NA,NA,3
"7","Cistus crispus","El_pozo",16.3279828218476,8.74397897711174,9.23972778559936,-3.81158860810638,0.00241870464928784,11
"8","Cistus crispus","Esparragal",2.88560799098677,5.07892422287722,1.33698542248024,0.0327577247312196,0.117846943885976,16
"9","Cistus crispus","Niebla",4.93243827821708,4.83138130088211,2.09619687656174,-0.125181463592664,0.153706492389747,10
"10","Cistus crispus","Pino_del_cuervo",11.1785473365169,6.08257149896096,2.68673882499188,0.484626148113277,0.397644364101204,10
"11","Cistus crispus","Urbanizaciones",4.1970979244755,7.53086317329911,1.45933409833806,-0.41760117939039,0.136096441072881,12
"12","Cistus crispus","Villamanrique_este",9.16146825952593,6.78435861261514,1.67000346283617,-0.927757042871501,0.0526629412164419,13
"13","Cistus crispus","Villamanrique_sur",6.57949299602091,3.48299361736337,1.5188706368428,-0.0181273845925567,0.0715039762678841,16
"14","Cistus ladanifer","Aznalcazar",17.0519114937159,2.3651687630389,1.31786305131543,0.447368344204742,0.140170695759455,16
"15","Cistus ladanifer","Bonares",56.5803263805832,2.94336408976794,0.913623933860214,0.32079824950705,0.399269612470593,5
"16","Cistus ladanifer","Convento_de_la_luz",8.94892917243919,1.5985313940677,0.873829624887449,0.524243790699094,0.277840015777443,9
"17","Cistus ladanifer","El_pozo",NA,NA,NA,NA,NA,3
"18","Cistus ladanifer","Niebla",61.5000000000001,3.0436516649631,1.07713382110355,0.245603851327047,0.131929577854259,15
"19","Cistus ladanifer","Pino_del_cuervo",35.5000000000001,2.4934729305542,0.643644430572811,0.614091977239512,0.3148433671579,10
"20","Cistus ladanifer","Villamanrique_este",Inf,1.59715781794968,2.36727052832018,-0.673422675212167,0.326530612244898,3
"21","Cistus ladanifer","Villamanrique_sur",3.15322070095872,1.66548951763491,1.98844768059703,0.288419180187931,0.395522728658024,6
"22","Cistus libanotis","La_rocina",Inf,18.7941539210107,1.21984230640208,1.48427476948009,0.623268698060942,9
"23","Cistus libanotis","Pinares_de_hinojos",41.5,8.98558066834673,4.5101567182516,0.885213616438068,0.365666982610304,15
"24","Cistus monspeliensis","Aznalcazar",3.01246861573995,10.6410947315147,1.0647837038057,-0.328504066972036,0.140625,8
"25","Cistus monspeliensis","Niebla",17.8818957362454,2.16065886866253,2.59665429740593,-1.24113027556575,0.0357411879123324,12
"26","Cistus salviifolius","Aznalcazar",17.995280599589,2.30278602552259,1.95163124247004,-0.162823297176277,0.133742101337065,12
"27","Cistus salviifolius","Bonares",12.6806693691762,2.08276239062172,0.875802237777652,0.317218486884233,0.132905511636815,20
"28","Cistus salviifolius","Convento_de_la_luz",Inf,1.97397572898307,1.00635971294636,0.760010125789072,0.431265086978239,6
"29","Cistus salviifolius","El_pozo",NA,NA,NA,NA,NA,3
"30","Cistus salviifolius","Esparragal",10.8333333333333,1.76467160280848,3.67191882444218,-1.11321108808926,0.0385487528344671,13
"31","Cistus salviifolius","La_cunya",120.66620626063,1.47356591341276,1.12480971918909,-4.88027347623301,0.00162924655762025,10
"32","Cistus salviifolius","Pinares_de_hinojos",25.9807621135331,5.10846016153302,0.96012153737849,0.323316841486197,0.390059648873701,6
"33","Cistus salviifolius","Pino_del_cuervo",7.77817459305201,1.28043660377023,4.00693842672377,0.169899036795397,0.444444444444444,3
"34","Cistus salviifolius","Urbanizaciones",15.5,11.2971892027039,1.43342096515456,0.311992534327528,0.238551543402499,7
"35","Cistus salviifolius","Villamanrique_este",4.61880215351701,5.97481091981067,4.69461999815693,0.0753043830641306,0.162623263208336,8
"36","Cistus salviifolius","Villamanrique_sur",NA,NA,NA,NA,NA,2
