"Pollinator_gen_sp","Site_ID","Collector","Day","Month","Year","Time","Round","Weather","Temperature","Humidity","Wind","Notes","Plant_genus","Plant_species","Plant_individual","Orden","Out","Notes_pollinators","Pollinator_id","Pollinator_genus","Pollinator_species","Subespecies","Pollinator_sex","morphospecie","Det","Frequency","Flower_abundance","Plant_gen_sp"
"Agapanthia asphodeli","Niebla","Oscar",29,4,2015,"10:25:00",5,"sol",21,36,"sin_viento",NA,"Thapsia","villosa",NA,"Coleoptera","out",NA,"not_captured","Agapanthia","asphodeli",NA,"male",NA,NA,2,NA,"Thapsia villosa"
"Amegilla albigena","Villamanrique_sur","Curro",9,6,2015,"11:00:00",7,"sol",29.5,39,"suave",NA,"Mirtus","communis","A","Hymenoptera","focal",NA,"BF623","Amegilla","albigena",NA,"female",NA,NA,6,1000,"Myrtus communis"
"Amegilla albigena","Villamanrique_sur","Curro",9,6,2015,"11:00:00",7,"sol",29.5,39,"suave",NA,"Mirtus","communis","B","Hymenoptera","focal",NA,"BF618","Amegilla","albigena",NA,"female",NA,NA,7,1000,"Myrtus communis"
"Amegilla albigena","Las_mulas","Curro",9,6,2015,"15:30:00",7,"sol",37,26,"suave",NA,"Mirtus","communis","A","Hymenoptera","focal",NA,"BF617","Amegilla","albigena",NA,"female",NA,NA,6,1000,"Myrtus communis"
"Amegilla albigena","Villamanrique_sur","Curro",9,6,2015,"11:00:00",7,"sol",29.5,39,"suave",NA,"Mirtus","communis","B","Hymenoptera","focal",NA,"BF620","Amegilla","albigena",NA,"female",NA,NA,5,1000,"Myrtus communis"
"Amegilla albigena","Las_mulas","Curro",9,6,2015,"16:00:00",7,"sol",37,26,"suave",NA,"Mirtus","communis","B","Hymenoptera","focal",NA,"BF619","Amegilla","albigena",NA,"female",NA,NA,7,500,"Myrtus communis"
"Amegilla albigena","La_rocina","Curro",10,6,2015,"9:10:00",7,"sol_y_nubes",26,58,"suave",NA,"Mirtus","communis","B","Hymenoptera","focal",NA,"BF622","Amegilla","albigena",NA,"female",NA,NA,11,500,"Myrtus communis"
"Amegilla fasciata","La_rocina","Curro",10,6,2015,"9:10:00",7,"sol_y_nubes",26,58,"suave",NA,"Mirtus","communis","A","Hymenoptera","focal",NA,"BF616","Amegilla","fasciata",NA,"female",NA,NA,13,800,"Myrtus communis"
"Amegilla quadrifasciata","Aznalcazar","Curro",26,5,2015,"10:00:00",7,"sol_y_nubes",29,40,"sin_viento",NA,"Mirtus","communis",NA,"Hymenoptera","out",NA,"BF624","Amegilla","quadrifasciata",NA,"female",NA,NA,2,NA,"Myrtus communis"
"Amegilla sp","Villamanrique_este","Oscar",14,4,2016,"13:30:00",4,"sol_y_nubes",21,NA,"suave","observado fuera de transecto","Echium","vulgare",NA,"Hymenoptera","out",NA,NA,"Amegilla","sp",NA,"male",NA,NA,1,NA,"Echium vulgare"
