"Site_ID","Day","Month","Year","Plant_genus","Plant_species","Plant_ID","Notes","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","Plant_gen_sp"
"Niebla",12,5,2015,"Cistus","monspeliensis","A1","Frutos dudosos, los guardo",3,0,0,0,"Cistus monspeliensis"
"Niebla",11,6,2015,"Cistus","crispus","A1",NA,5,0,3,0,"Cistus crispus"
"Niebla",11,6,2015,"Cistus","crispus","A2",NA,2,4,0,0,"Cistus crispus"
"Niebla",11,6,2015,"Cistus","crispus","A3",NA,4,5,2,0,"Cistus crispus"
"Niebla",11,6,2015,"Cistus","crispus","B1",NA,4,1,4,0,"Cistus crispus"
"Niebla",11,6,2015,"Cistus","crispus","B2",NA,2,2,0,0,"Cistus crispus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","A1",NA,25,3,11,0,"Asphodelus fistulosus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","A2",NA,14,6,0,0,"Asphodelus fistulosus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","A3",NA,11,11,1,0,"Asphodelus fistulosus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","B1",NA,21,0,16,0,"Asphodelus fistulosus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","B2",NA,23,1,19,0,"Asphodelus fistulosus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","B3",NA,23,3,22,0,"Asphodelus fistulosus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","C1",NA,14,9,9,0,"Asphodelus fistulosus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","C2",NA,12,5,9,0,"Asphodelus fistulosus"
"Niebla",11,6,2015,"Asphodelus","fistulosus","C3",NA,7,1,5,0,"Asphodelus fistulosus"
"Niebla",28,5,2015,"Cistus","ladanifer","A1",NA,0,1,0,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","ladanifer","A2",NA,0,1,0,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","ladanifer","A3",NA,0,1,0,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","ladanifer","B1",NA,3,2,2,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","ladanifer","B2",NA,5,0,5,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","ladanifer","B3",NA,7,0,7,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","ladanifer","C1",NA,1,0,1,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","ladanifer","C2",NA,1,0,0,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","ladanifer","C3",NA,1,0,1,0,"Cistus ladanifer"
"Niebla",28,5,2015,"Cistus","monspeliensis","A1",NA,2,0,1,0,"Cistus monspeliensis"
"Niebla",28,5,2015,"Cistus","monspeliensis","A2",NA,3,1,0,0,"Cistus monspeliensis"
"Niebla",28,5,2015,"Phlomis","purpurea","A1",NA,9,0,0,0,"Phlomis purpurea"
"Niebla",28,5,2015,"Phlomis","purpurea","A2",NA,10,0,0,0,"Phlomis purpurea"
"Niebla",28,5,2015,"Phlomis","purpurea","A3",NA,10,0,0,0,"Phlomis purpurea"
"Niebla",28,5,2015,"Phlomis","purpurea","B1",NA,20,0,0,0,"Phlomis purpurea"
"Niebla",28,5,2015,"Phlomis","purpurea","B2",NA,20,0,0,0,"Phlomis purpurea"
"Niebla",28,5,2015,"Phlomis","purpurea","B3",NA,22,0,0,0,"Phlomis purpurea"
"Niebla",28,5,2015,"Lavandula","pedunculata","A1",NA,99,36,0,0,"Lavandula pedunculata"
"Niebla",28,5,2015,"Lavandula","pedunculata","A2",NA,58,30,0,0,"Lavandula pedunculata"
"Niebla",28,5,2015,"Lavandula","pedunculata","A3",NA,75,40,0,0,"Lavandula pedunculata"
"Niebla",28,5,2015,"Lavandula","pedunculata","B1",NA,109,12,0,0,"Lavandula pedunculata"
"Niebla",28,5,2015,"Lavandula","pedunculata","B2",NA,21,10,0,0,"Lavandula pedunculata"
"Niebla",28,5,2015,"Lavandula","pedunculata","B3",NA,117,9,0,0,"Lavandula pedunculata"
"Niebla",28,5,2015,"Lavandula","pedunculata","C1",NA,83,15,0,0,"Lavandula pedunculata"
"Niebla",28,5,2015,"Lavandula","pedunculata","C2",NA,101,39,0,0,"Lavandula pedunculata"
"Niebla",28,5,2015,"Lavandula","pedunculata","C3",NA,128,25,0,0,"Lavandula pedunculata"
"Bonares",12,5,2015,"Ulex","australis","A1",NA,7,6,0,6,"Ulex australis"
"Bonares",12,5,2015,"Ulex","australis","A2",NA,8,0,0,1,"Ulex australis"
"Bonares",12,5,2015,"Ulex","australis","B1",NA,5,10,0,4,"Ulex australis"
"Bonares",12,5,2015,"Ulex","australis","B2",NA,2,4,0,0,"Ulex australis"
"Bonares",12,5,2015,"Ulex","australis","C1",NA,6,1,0,2,"Ulex australis"
"Bonares",12,5,2015,"Ulex","australis","C2",NA,3,2,0,0,"Ulex australis"
"Bonares",12,5,2015,"Cistus","crispus","A1",NA,6,4,0,0,"Cistus crispus"
"Bonares",12,5,2015,"Cistus","crispus","A2",NA,6,5,0,0,"Cistus crispus"
"Bonares",12,5,2015,"Cistus","crispus","A3",NA,5,3,0,0,"Cistus crispus"
"Bonares",12,5,2015,"Cistus","crispus","B1",NA,3,2,0,0,"Cistus crispus"
"Bonares",12,5,2015,"Cistus","crispus","B2",NA,4,2,0,0,"Cistus crispus"
"Bonares",12,5,2015,"Cistus","crispus","B3",NA,2,3,0,0,"Cistus crispus"
"Bonares",12,5,2015,"Cistus","salviifolius","A1",NA,7,2,0,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Cistus","salviifolius","A2",NA,2,0,0,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Cistus","salviifolius","A3",NA,2,0,0,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Cistus","salviifolius","B1",NA,2,5,0,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Cistus","salviifolius","B2",NA,1,0,0,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Cistus","salviifolius","B3",NA,6,0,0,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Cistus","salviifolius","C1",NA,3,0,1,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Cistus","salviifolius","C2",NA,2,0,0,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Cistus","salviifolius","C3",NA,2,0,0,0,"Cistus salviifolius"
"Bonares",12,5,2015,"Halimium","calycinum","A1",NA,0,3,0,0,"Halimium calycinum"
"Bonares",12,5,2015,"Halimium","calycinum","A2",NA,0,6,0,0,"Halimium calycinum"
"Bonares",12,5,2015,"Halimium","calycinum","A3",NA,0,1,0,0,"Halimium calycinum"
"Bonares",12,5,2015,"Halimium","calycinum","B1",NA,2,6,0,2,"Halimium calycinum"
"Bonares",12,5,2015,"Halimium","calycinum","B2",NA,0,5,0,0,"Halimium calycinum"
"Bonares",12,5,2015,"Halimium","calycinum","B3",NA,0,1,0,0,"Halimium calycinum"
"Bonares",12,5,2015,"Cistus","ladanifer","A1",NA,2,1,0,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","A2",NA,2,0,1,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","A3",NA,3,0,2,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","B1",NA,5,0,2,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","B2",NA,3,0,1,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","B3",NA,3,0,0,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","C1",NA,1,0,0,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","C2",NA,1,0,1,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","C3",NA,2,0,0,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","D1",NA,2,0,0,0,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","D2",NA,4,0,1,1,"Cistus ladanifer"
"Bonares",12,5,2015,"Cistus","ladanifer","D3",NA,5,0,1,3,"Cistus ladanifer"
"Bonares",12,5,2015,"Lavandula","stoechas","A1",NA,145,15,0,0,"Lavandula stoechas"
"Bonares",12,5,2015,"Lavandula","stoechas","A2",NA,139,7,10,0,"Lavandula stoechas"
"Bonares",12,5,2015,"Lavandula","stoechas","A3",NA,113,32,0,0,"Lavandula stoechas"
"Bonares",12,5,2015,"Lavandula","stoechas","B1",NA,171,20,0,0,"Lavandula stoechas"
"Bonares",12,5,2015,"Lavandula","stoechas","B2",NA,92,22,0,0,"Lavandula stoechas"
"Bonares",12,5,2015,"Lavandula","stoechas","B3",NA,90,40,15,0,"Lavandula stoechas"
"Bonares",12,5,2015,"Lavandula","stoechas","C1",NA,102,28,14,0,"Lavandula stoechas"
"Bonares",12,5,2015,"Lavandula","stoechas","C2",NA,103,15,6,0,"Lavandula stoechas"
"Bonares",12,5,2015,"Lavandula","stoechas","C3",NA,59,48,0,0,"Lavandula stoechas"
"La_rocina",10,6,2015,"Halimium","calycinum","A1",NA,5,0,0,1,"Halimium calycinum"
"La_rocina",10,6,2015,"Halimium","calycinum","A2",NA,1,3,0,0,"Halimium calycinum"
"La_rocina",10,6,2015,"Halimium","calycinum","A3",NA,3,4,0,1,"Halimium calycinum"
"La_rocina",10,6,2015,"Anchusa","azurea","A1","predados por chinche algunos frutos",25,0,2,19,"Anchusa azurea"
"La_rocina",10,6,2015,"Anchusa","azurea","A2",NA,27,0,1,21,"Anchusa azurea"
"La_rocina",10,6,2015,"Anchusa","azurea","A3",NA,38,0,0,36,"Anchusa azurea"
"La_rocina",10,6,2015,"Anchusa","azurea","B1",NA,32,0,2,27,"Anchusa azurea"
"La_rocina",10,6,2015,"Anchusa","azurea","B2",NA,0,3,0,0,"Anchusa azurea"
"La_rocina",10,6,2015,"Anchusa","azurea","B3",NA,0,6,0,0,"Anchusa azurea"
"La_rocina",10,6,2015,"Halimium","halimifolium","A1",NA,1,3,0,0,"Halimium halimifolium"
"La_rocina",10,6,2015,"Halimium","halimifolium","A2",NA,0,1,0,0,"Halimium halimifolium"
"La_rocina",10,6,2015,"Halimium","halimifolium","A3",NA,0,2,0,0,"Halimium halimifolium"
"La_rocina",10,6,2015,"Salvia","rosmarinus","A1",NA,39,7,0,26,"Salvia rosmarinus"
"La_rocina",10,6,2015,"Salvia","rosmarinus","A2","frutos perdidos",0,0,0,0,"Salvia rosmarinus"
"La_rocina",10,6,2015,"Salvia","rosmarinus","A3","frutos perdidos",0,0,0,0,"Salvia rosmarinus"
"La_rocina",10,6,2015,"Spartium","junceum","A1","frutos perdidos",0,0,0,0,"Spartium junceum"
"La_rocina",10,6,2015,"Spartium","junceum","A2",NA,0,1,0,0,"Spartium junceum"
"La_rocina",10,6,2015,"Spartium","junceum","B1",NA,8,0,0,4,"Spartium junceum"
"La_rocina",10,6,2015,"Spartium","junceum","B2",NA,14,0,0,10,"Spartium junceum"
"Pino_del_cuervo",10,6,2015,"Cistus","crispus","A1",NA,6,3,0,0,"Cistus crispus"
"Pino_del_cuervo",10,6,2015,"Cistus","crispus","A2",NA,4,3,0,0,"Cistus crispus"
"Pino_del_cuervo",10,6,2015,"Cistus","crispus","A3",NA,4,8,0,0,"Cistus crispus"
"Pino_del_cuervo",10,6,2015,"Cistus","crispus","B1",NA,4,1,1,0,"Cistus crispus"
"Pino_del_cuervo",10,6,2015,"Cistus","crispus","B2",NA,5,0,0,0,"Cistus crispus"
"Pino_del_cuervo",10,6,2015,"Cistus","crispus","B3",NA,3,2,0,0,"Cistus crispus"
"Pino_del_cuervo",10,6,2015,"Salvia","rosmarinus","A1",NA,29,5,0,25,"Salvia rosmarinus"
"Pino_del_cuervo",10,6,2015,"Salvia","rosmarinus","A2",NA,11,1,0,10,"Salvia rosmarinus"
"Pino_del_cuervo",10,6,2015,"Salvia","rosmarinus","A3",NA,45,1,1,41,"Salvia rosmarinus"
"Pino_del_cuervo",10,6,2015,"Salvia","rosmarinus","B1",NA,6,32,0,6,"Salvia rosmarinus"
"Pino_del_cuervo",10,6,2015,"Salvia","rosmarinus","B2",NA,11,9,0,11,"Salvia rosmarinus"
"Pino_del_cuervo",10,6,2015,"Salvia","rosmarinus","B3",NA,4,15,0,3,"Salvia rosmarinus"
"Pino_del_cuervo",10,6,2015,"Halimium","calycinum","A1",NA,2,1,0,2,"Halimium calycinum"
