"Site_ID","Year","Plant_genus","Plant_species","Plant_ID","Fruit_number","Seed_number","Seeds","Fruit_weight","Seed_weight","Notes","Plant_gen_sp"
"Niebla",2015,"Cistus","monspeliensis","A1","a","1",2,0.01003,0.00085,NA,"Cistus monspeliensis"
"Niebla",2015,"Cistus","monspeliensis","A1","a","2",NA,NA,0.00079,NA,"Cistus monspeliensis"
"Niebla",2015,"Cistus","monspeliensis","A2","a",NA,0,0.0173,0,"Predado","Cistus monspeliensis"
"Niebla",2015,"Cistus","monspeliensis","A2","b","all",7,0.0358,0.00702,NA,"Cistus monspeliensis"
"Niebla",2015,"Cistus","monspeliensis","A2","c","all",6,0.03616,0.00661,NA,"Cistus monspeliensis"
"Niebla",2015,"Cistus","crispus","A1","a",NA,0,0.01689,0,"Predado","Cistus crispus"
"Niebla",2015,"Cistus","crispus","A1","b","all",30,0.03607,0.01269,NA,"Cistus crispus"
"Niebla",2015,"Cistus","crispus","A2","a","all",47,0.09767,0.02463,NA,"Cistus crispus"
"Niebla",2015,"Cistus","crispus","A2","b","all",31,0.05224,0.01591,NA,"Cistus crispus"
"Niebla",2015,"Cistus","crispus","A3","a",NA,0,0.02037,0,"Predado","Cistus crispus"
"Niebla",2015,"Cistus","crispus","A3","b","all",21,0.02406,0.00725,NA,"Cistus crispus"
"Niebla",2015,"Cistus","crispus","B2","a","all",44,0.06394,0.01867,NA,"Cistus crispus"
"Niebla",2015,"Cistus","crispus","B2","b","all",35,0.05997,0.01363,NA,"Cistus crispus"
"Niebla",2015,"Cistus","crispus","B3","a","all",35,0.05822,0.01469,NA,"Cistus crispus"
"Niebla",2015,"Cistus","crispus","B3","b","all",35,0.05324,0.0151,NA,"Cistus crispus"
"Niebla",2015,"Asphodelus","fistulosus","A1","a","all",5,0.07489,0.02954,"1 aborto","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A1","b","1",3,0.07043,0.00611,"3 abortos","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A1","b","2",NA,NA,0.00621,"3 abortos","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A1","b","3",NA,NA,0.00615,"3 abortos","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A1","c","1",3,0.07092,0.0129,"3 predados","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A1","c","2",NA,NA,0.01251,"3 predados","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A1","c","3",NA,NA,0.01282,"3 predados","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A2","a","1",3,0.089,0.01254,"3 predados","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A2","a","2",NA,NA,0.01248,"3 predados","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A2","a","3",NA,NA,0.01259,"3 predados","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A2","b","1",4,0.10173,0.01397,"2 abortos","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A2","b","2",NA,NA,0.01403,"2 abortos","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A2","b","3",NA,NA,0.01389,"2 abortos","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A2","b","4",NA,NA,0.01408,"2 abortos","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A3","a","1",1,0.08715,0.0344,NA,"Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","A3","b","1",1,0.08618,0.03422,"1 aborto","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B1","a","all",6,0.0729,0.03302,NA,"Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B1","b","all",5,0.08012,0.03903,NA,"Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B1","c","all",5,0.06977,0.02455,NA,"Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B2","a","1",3,0.05199,0.00887,NA,"Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B2","a","2",NA,NA,0.00891,NA,"Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B2","a","3",NA,NA,0.00872,NA,"Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B2","b",NA,0,0.04352,0,"Predado","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B2","c",NA,0,0.07256,0,"Predado","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B3","a","1",4,0.074,0.01013,"2 abortos","Asphodelus fistulosus"
"Niebla",2015,"Asphodelus","fistulosus","B3","a","2",NA,NA,0.01021,"2 abortos","Asphodelus fistulosus"
